Date,Sentiment,Sentiment High,Sentiment Low,News Volume,News Buzz
2013-11-18,1,5,-3,100,5
2013-11-19,-1,4,-4,177,7
2013-11-20,-1,4,-5,132,5
2013-11-21,-1,4,-4,101,4
2013-11-22,1,4,-4,128,5
2013-11-23,1,5,-3,29,3
2013-11-24,4,5,2,14,2
2013-11-25,1,4,-4,83,4
2013-11-26,-1,3,-5,110,4
2013-11-27,2,5,-3,107,4
2013-11-28,-1,4,-4,59,3
2013-11-29,1,4,-4,82,4
2013-11-30,3,5,-1,16,3
2013-12-01,1,5,-3,10,2
2013-12-02,1,5,-3,77,5
2013-12-03,-1,3,-4,164,9
2013-12-04,1,5,-4,120,6
2013-12-05,-1,4,-4,183,10
2013-12-06,1,5,-3,102,5
2013-12-07,-1,4,-5,33,4
2013-12-08,1,5,-4,12,3
2013-12-09,2,5,-3,109,8
2013-12-10,1,5,-3,89,5
2013-12-11,0,0,0,0,0
2013-12-12,-1,4,-4,168,9
2013-12-13,1,4,-4,99,5
2013-12-14,-2,3,-5,17,3
2013-12-15,1,4,-3,13,3
2013-12-16,-1,3,-4,76,6
2013-12-17,1,5,-3,72,4
2013-12-18,1,4,-4,123,7
2013-12-19,1,4,-3,102,5
2013-12-20,-1,4,-5,84,4
2013-12-21,-2,3,-5,24,3
2013-12-22,1,5,-3,17,3
2013-12-23,2,5,-2,229,10
2013-12-24,2,5,-1,101,4
2013-12-25,1,5,-3,17,0
2013-12-26,1,5,-3,51,2
2013-12-27,1,5,-4,57,2
2013-12-28,1,4,-3,37,2
2013-12-29,1,4,-4,13,2
2013-12-30,-1,4,-4,81,5
2013-12-31,-1,3,-4,72,3
2014-01-01,-1,3,-4,53,2
2014-01-02,-1,3,-5,108,4
2014-01-03,1,4,-4,105,4
2014-01-04,-2,3,-5,28,3
2014-01-05,-1,4,-5,16,3
2014-01-06,1,5,-4,112,6
2014-01-07,-1,4,-4,175,7
2014-01-08,1,5,-3,102,4
2014-01-09,-1,3,-5,119,4
2014-01-10,-1,3,-5,100,4
2014-01-11,1,4,-4,19,2
2014-01-12,-1,4,-4,11,2
2014-01-13,1,4,-4,64,3
2014-01-14,1,4,-4,125,5
2014-01-15,2,5,-3,150,6
2014-01-16,2,5,-3,124,5
2014-01-17,-1,4,-5,89,3
2014-01-18,-1,4,-4,13,2
2014-01-19,3,5,-1,10,1
2014-01-20,-1,4,-5,38,2
2014-01-21,-1,4,-4,74,3
2014-01-22,1,5,-3,129,7
2014-01-23,-1,4,-4,139,8
2014-01-24,1,4,-3,204,10
2014-01-25,-1,4,-4,52,8
2014-01-26,-1,4,-4,26,6
2014-01-27,-1,4,-4,156,10
2014-01-28,-2,2,-5,377,10
2014-01-29,-2,3,-5,140,4
2014-01-30,-1,3,-5,135,3
2014-01-31,-1,3,-5,109,3
2014-02-01,-2,2,-5,36,2
2014-02-02,-1,4,-4,16,2
2014-02-03,-1,3,-5,83,3
2014-02-04,-1,3,-4,176,5
2014-02-05,-1,4,-4,105,3
2014-02-06,-1,4,-5,111,3
2014-02-07,-2,3,-5,180,5
2014-02-08,-1,4,-4,53,4
2014-02-09,-1,4,-5,14,3
2014-02-10,1,5,-4,201,7
2014-02-11,-1,4,-4,141,4
2014-02-12,1,5,-4,80,2
2014-02-13,1,4,-4,75,2
2014-02-14,-1,4,-5,51,1
2014-02-15,-1,3,-4,18,1
2014-02-16,-2,2,-5,7,1
2014-02-17,-1,4,-4,13,1
2014-02-18,1,5,-3,76,2
2014-02-19,-1,4,-4,70,2
2014-02-20,1,4,-4,60,1
2014-02-21,1,5,-3,51,1
2014-02-22,-4,-1,-5,41,2
